company_id,industry_code,region,size_class,annual_revenue_msek
1,49,Stockholm,medium,9.0
2,72,Övriga,small,28.1
3,68,Övriga,medium,28.7
4,52,Övriga,medium,27.9
5,49,Stockholm,small,10.8
6,68,Övriga,small,6.6
7,68,Stockholm,small,8.1
8,45,Stockholm,medium,27.0
9,52,Övriga,medium,17.0
10,43,Stockholm,small,40.9
11,42,Skåne,small,9.8
12,69,Stockholm,large,68.0
13,47,Skåne,small,6.3
14,42,Övriga,medium,32.3
15,41,Stockholm,small,4.5
16,69,Skåne,small,3.0
17,69,Stockholm,medium,29.8
18,78,Skåne,medium,22.1
19,63,Stockholm,medium,34.3
20,77,Stockholm,small,11.2
21,72,Stockholm,small,13.4
22,72,Stockholm,medium,23.4
23,69,Övriga,small,7.1
24,43,Västra Götaland,small,8.9
25,46,Stockholm,medium,32.0
26,49,Västra Götaland,small,4.5
27,62,Stockholm,small,9.8
28,49,Övriga,medium,23.0
29,45,Övriga,large,49.8
30,71,Västra Götaland,small,12.0
31,62,Övriga,small,6.5
32,42,Skåne,medium,27.3
33,72,Stockholm,medium,32.7
34,49,Skåne,medium,20.1
35,69,Västra Götaland,small,24.9
36,52,Skåne,small,5.5
37,72,Övriga,small,10.7
38,43,Västra Götaland,medium,13.2
39,71,Övriga,medium,28.2
40,78,Övriga,small,15.0
41,45,Västra Götaland,small,8.6
42,52,Skåne,small,8.1
43,45,Stockholm,large,76.1
44,42,Övriga,medium,44.5
45,47,Skåne,small,3.8
46,63,Stockholm,small,20.4
47,45,Stockholm,small,8.2
48,69,Skåne,small,12.5
49,42,Stockholm,medium,28.5
50,63,Stockholm,medium,28.8
51,45,Västra Götaland,small,13.5
52,71,Stockholm,small,6.2
53,77,Västra Götaland,medium,24.0
54,72,Stockholm,small,8.0
55,52,Stockholm,small,20.1
56,71,Skåne,large,51.6
57,52,Västra Götaland,medium,35.5
58,77,Stockholm,medium,22.4
59,70,Stockholm,small,4.6
60,72,Skåne,small,32.4
61,70,Stockholm,small,5.8
62,62,Stockholm,small,4.4
63,72,Stockholm,medium,19.6
64,70,Övriga,small,9.8
65,41,Övriga,medium,42.6
66,49,Övriga,small,34.0
67,62,Övriga,small,2.9
68,41,Skåne,large,52.6
69,69,Västra Götaland,small,8.3
70,52,Skåne,small,12.0
71,68,Stockholm,small,9.2
72,78,Skåne,small,11.3
73,52,Övriga,small,5.9
74,43,Västra Götaland,small,6.3
75,43,Västra Götaland,medium,18.8
76,41,Stockholm,medium,38.3
77,46,Skåne,small,8.3
78,63,Skåne,small,4.6
79,49,Övriga,small,8.8
80,62,Stockholm,small,7.1
81,49,Övriga,small,6.8
82,62,Skåne,medium,42.6
83,52,Övriga,small,10.9
84,69,Västra Götaland,medium,32.6
85,42,Västra Götaland,large,34.6
86,41,Skåne,medium,13.1
87,77,Övriga,small,3.0
88,46,Övriga,small,7.9
89,43,Stockholm,large,69.7
90,69,Stockholm,small,36.2
91,52,Övriga,medium,24.9
92,43,Västra Götaland,small,4.7
93,41,Skåne,small,19.5
94,43,Västra Götaland,medium,22.2
95,46,Stockholm,medium,19.1
96,72,Övriga,medium,26.3
97,71,Övriga,large,80.9
98,43,Stockholm,small,9.3
99,41,Stockholm,small,6.3
100,46,Övriga,large,154.0
101,71,Stockholm,small,4.1
102,49,Övriga,medium,36.0
103,62,Stockholm,small,9.8
104,72,Skåne,small,21.6
105,72,Övriga,small,7.1
106,63,Skåne,small,8.6
107,70,Västra Götaland,medium,19.5
108,49,Skåne,medium,22.5
109,78,Stockholm,small,16.5
110,45,Stockholm,small,11.1
111,46,Övriga,small,3.5
112,49,Övriga,small,9.6
113,70,Skåne,small,22.4
114,72,Västra Götaland,small,8.8
115,68,Stockholm,small,1.7
116,45,Stockholm,small,11.4
117,70,Skåne,small,8.0
118,49,Övriga,small,3.0
119,42,Västra Götaland,small,3.3
