"näringsgren SNI 2007","år","tabellinnehåll","Basfakta företag enligt Företagens ekonomi"
"A-SexklK-O samtliga näringsgrenar (exkl. K+O+T+U)","2022","Antal företag",1029250
"A-SexklK-O samtliga näringsgrenar (exkl. K+O+T+U)","2022","Antal anställda",3007635
"A-SexklK-O samtliga näringsgrenar (exkl. K+O+T+U)","2022","Nettoomsättning, mnkr",11956674
"A-SexklK-O samtliga näringsgrenar (exkl. K+O+T+U)","2022","Förädlingsvärde, mnkr",3355124
"A-SexklK-O samtliga näringsgrenar (exkl. K+O+T+U)","2022","Summa tillgångar, mnkr",20601376
"A-SexklK-O samtliga näringsgrenar (exkl. K+O+T+U)","2022","Bruttoinvesteringar, mnkr",706338
"A-SexklK-O samtliga näringsgrenar (exkl. K+O+T+U)","2022","Nettoinvesteringar, mnkr",629019
"A-SexklK-O samtliga näringsgrenar (exkl. K+O+T+U)","2023","Antal företag",1056806
"A-SexklK-O samtliga näringsgrenar (exkl. K+O+T+U)","2023","Antal anställda",3041754
"A-SexklK-O samtliga näringsgrenar (exkl. K+O+T+U)","2023","Nettoomsättning, mnkr",12457104
"A-SexklK-O samtliga näringsgrenar (exkl. K+O+T+U)","2023","Förädlingsvärde, mnkr",3537865
"A-SexklK-O samtliga näringsgrenar (exkl. K+O+T+U)","2023","Summa tillgångar, mnkr",21734117
"A-SexklK-O samtliga näringsgrenar (exkl. K+O+T+U)","2023","Bruttoinvesteringar, mnkr",752124
"A-SexklK-O samtliga näringsgrenar (exkl. K+O+T+U)","2023","Nettoinvesteringar, mnkr",643765
"A-01-03 jordbruk, skogsbruk och fiske","2022","Antal företag",212429
"A-01-03 jordbruk, skogsbruk och fiske","2022","Antal anställda",36602
"A-01-03 jordbruk, skogsbruk och fiske","2022","Nettoomsättning, mnkr",197902
"A-01-03 jordbruk, skogsbruk och fiske","2022","Förädlingsvärde, mnkr",71314
"A-01-03 jordbruk, skogsbruk och fiske","2022","Summa tillgångar, mnkr",671111
"A-01-03 jordbruk, skogsbruk och fiske","2022","Bruttoinvesteringar, mnkr",..
"A-01-03 jordbruk, skogsbruk och fiske","2022","Nettoinvesteringar, mnkr",..
"A-01-03 jordbruk, skogsbruk och fiske","2023","Antal företag",215913
"A-01-03 jordbruk, skogsbruk och fiske","2023","Antal anställda",37309
"A-01-03 jordbruk, skogsbruk och fiske","2023","Nettoomsättning, mnkr",208498
"A-01-03 jordbruk, skogsbruk och fiske","2023","Förädlingsvärde, mnkr",71703
"A-01-03 jordbruk, skogsbruk och fiske","2023","Summa tillgångar, mnkr",716339
"A-01-03 jordbruk, skogsbruk och fiske","2023","Bruttoinvesteringar, mnkr",..
"A-01-03 jordbruk, skogsbruk och fiske","2023","Nettoinvesteringar, mnkr",..
